case_id,person_id,time,individuation_pattern,ego_coherence,unconscious_activation,symbolic_center_strength,shadow_pressure,relational_coordination,disjunction,inflation_risk,totality_score,differentiation_score,self_relation_index
1,1,1,stable_ego_development,0.62,0.36,0.34,0.28,0.42,0.34,0.22,0.42,0.40,0.36
2,1,2,stable_ego_development,0.68,0.38,0.40,0.30,0.48,0.30,0.20,0.50,0.48,0.45
3,1,3,stable_ego_development,0.76,0.42,0.48,0.32,0.56,0.24,0.18,0.62,0.58,0.57
4,1,4,stable_ego_development,0.84,0.46,0.56,0.34,0.64,0.18,0.16,0.74,0.68,0.70
5,2,1,persona_crack,0.78,0.60,0.42,0.68,0.32,0.70,0.58,0.28,0.30,0.24
6,2,2,persona_crack,0.70,0.66,0.50,0.76,0.40,0.62,0.52,0.38,0.40,0.34
7,2,3,persona_crack,0.64,0.72,0.62,0.70,0.52,0.48,0.42,0.54,0.54,0.50
8,2,4,persona_crack,0.68,0.70,0.74,0.58,0.64,0.34,0.30,0.70,0.68,0.66
9,3,1,shadow_integration,0.56,0.78,0.44,0.86,0.38,0.62,0.36,0.40,0.32,0.34
10,3,2,shadow_integration,0.60,0.82,0.54,0.78,0.48,0.52,0.30,0.52,0.48,0.48
11,3,3,shadow_integration,0.68,0.76,0.66,0.62,0.60,0.38,0.24,0.70,0.66,0.66
12,3,4,shadow_integration,0.76,0.70,0.78,0.46,0.72,0.24,0.18,0.86,0.80,0.82
13,4,1,center_symbol_emergence,0.52,0.58,0.72,0.52,0.44,0.54,0.38,0.58,0.52,0.54
14,4,2,center_symbol_emergence,0.58,0.62,0.86,0.48,0.54,0.42,0.32,0.72,0.64,0.68
15,4,3,center_symbol_emergence,0.66,0.64,1.02,0.42,0.66,0.30,0.26,0.88,0.78,0.84
16,4,4,center_symbol_emergence,0.74,0.62,1.18,0.36,0.78,0.20,0.22,1.02,0.90,0.98
17,5,1,inflation_risk,0.90,0.56,0.82,0.34,0.28,0.56,0.92,0.40,0.38,0.26
18,5,2,inflation_risk,0.96,0.58,0.92,0.36,0.34,0.54,1.00,0.42,0.40,0.28
19,5,3,inflation_risk,0.92,0.60,0.88,0.44,0.44,0.46,0.78,0.52,0.50,0.42
20,5,4,inflation_risk,0.84,0.62,0.82,0.52,0.58,0.34,0.54,0.68,0.64,0.60
21,6,1,fragmentation_repair,0.42,0.74,0.38,0.72,0.30,0.84,0.30,0.22,0.24,0.18
22,6,2,fragmentation_repair,0.50,0.76,0.50,0.66,0.44,0.66,0.26,0.40,0.42,0.36
23,6,3,fragmentation_repair,0.62,0.70,0.66,0.54,0.60,0.46,0.22,0.64,0.62,0.60
24,6,4,fragmentation_repair,0.74,0.66,0.82,0.42,0.76,0.28,0.18,0.86,0.80,0.82
