node,cluster,activation,notes
ego,conscious_center,1.00,Center of consciousness and practical orientation
persona,adaptation,0.74,Social face and adaptive role structure
shadow,unconscious,0.42,Disowned material and rejected psychic contents
complexes,unconscious,0.52,Affectively charged psychic patterns
relational_life,relation,0.68,Interpersonal and attachment-related psychic life
symbolic_imagery,symbolic,0.64,Dreams, fantasies, mythic images, mandalas, center-symbols
body_affect,embodied,0.56,Bodily feeling, somatic affect, instinctive life
thinking,function,0.82,Cognitive judgment and conceptual organization
feeling,function,0.48,Affective valuation and relational judgment
sensation,function,0.58,Concrete perception and embodied realism
intuition,function,0.70,Possibility, pattern detection, symbolic anticipation
center_symbol,self_symbol,0.34,Symbolic center representing Self-orientation
