case_id,dominant_function,inferior_function,dominant_attitude,time,thinking,feeling,sensation,intuition,attitude_score,dominant_strength,inferior_strength,function_variance,unconscious_pressure,compensation_strain,reflective_capacity,symbolic_relation,conscious_coherence,developmental_integration
1,thinking,feeling,introversion,1,0.86,0.24,0.58,0.44,-0.72,0.86,0.24,0.066,0.62,0.72,0.34,0.32,0.58,0.28
2,thinking,feeling,extraversion,1,0.90,0.22,0.62,0.40,0.70,0.90,0.22,0.082,0.64,0.76,0.32,0.30,0.62,0.26
3,feeling,thinking,introversion,1,0.26,0.84,0.46,0.52,-0.66,0.84,0.26,0.060,0.58,0.68,0.36,0.34,0.56,0.30
4,feeling,thinking,extraversion,1,0.24,0.88,0.50,0.48,0.74,0.88,0.24,0.071,0.60,0.70,0.34,0.32,0.60,0.28
5,sensation,intuition,introversion,1,0.48,0.38,0.86,0.22,-0.58,0.86,0.22,0.075,0.66,0.78,0.30,0.24,0.56,0.24
6,sensation,intuition,extraversion,1,0.50,0.36,0.90,0.20,0.76,0.90,0.20,0.091,0.68,0.82,0.28,0.22,0.60,0.22
7,intuition,sensation,introversion,1,0.44,0.38,0.24,0.86,-0.70,0.86,0.24,0.072,0.70,0.80,0.32,0.46,0.54,0.34
8,intuition,sensation,extraversion,1,0.42,0.36,0.22,0.90,0.72,0.90,0.22,0.090,0.72,0.84,0.30,0.44,0.58,0.32
9,thinking,feeling,introversion,8,0.88,0.40,0.64,0.54,-0.62,0.88,0.40,0.043,0.48,0.52,0.50,0.50,0.68,0.52
10,thinking,feeling,extraversion,8,0.92,0.38,0.68,0.50,0.64,0.92,0.38,0.055,0.50,0.56,0.48,0.48,0.72,0.50
11,feeling,thinking,introversion,8,0.42,0.86,0.54,0.62,-0.58,0.86,0.42,0.037,0.46,0.50,0.52,0.52,0.66,0.56
12,feeling,thinking,extraversion,8,0.40,0.90,0.58,0.58,0.66,0.90,0.40,0.049,0.48,0.54,0.50,0.50,0.70,0.54
13,sensation,intuition,introversion,8,0.58,0.48,0.88,0.38,-0.50,0.88,0.38,0.046,0.52,0.60,0.44,0.40,0.66,0.46
14,sensation,intuition,extraversion,8,0.60,0.46,0.92,0.36,0.68,0.92,0.36,0.058,0.54,0.64,0.42,0.38,0.70,0.44
15,intuition,sensation,introversion,8,0.54,0.48,0.40,0.88,-0.62,0.88,0.40,0.045,0.52,0.58,0.48,0.64,0.66,0.60
16,intuition,sensation,extraversion,8,0.52,0.46,0.38,0.92,0.66,0.92,0.38,0.057,0.54,0.62,0.46,0.62,0.70,0.58
17,thinking,feeling,introversion,16,0.90,0.62,0.76,0.68,-0.50,0.90,0.62,0.015,0.30,0.30,0.72,0.70,0.82,0.78
18,thinking,feeling,extraversion,16,0.94,0.60,0.80,0.64,0.58,0.94,0.60,0.020,0.32,0.34,0.70,0.68,0.86,0.76
19,feeling,thinking,introversion,16,0.64,0.90,0.70,0.76,-0.48,0.90,0.64,0.012,0.28,0.28,0.74,0.72,0.80,0.82
20,feeling,thinking,extraversion,16,0.62,0.94,0.74,0.72,0.60,0.94,0.62,0.018,0.30,0.32,0.72,0.70,0.84,0.80
21,sensation,intuition,introversion,16,0.70,0.62,0.90,0.58,-0.42,0.90,0.58,0.019,0.34,0.38,0.66,0.64,0.80,0.72
22,sensation,intuition,extraversion,16,0.72,0.60,0.94,0.56,0.62,0.94,0.56,0.025,0.36,0.42,0.64,0.62,0.84,0.70
23,intuition,sensation,introversion,16,0.68,0.62,0.60,0.90,-0.54,0.90,0.60,0.019,0.32,0.36,0.70,0.82,0.80,0.84
24,intuition,sensation,extraversion,16,0.66,0.60,0.58,0.94,0.62,0.94,0.58,0.026,0.34,0.40,0.68,0.80,0.84,0.82
25,thinking,feeling,introversion,24,0.92,0.78,0.84,0.78,-0.42,0.92,0.78,0.004,0.20,0.18,0.86,0.84,0.90,0.92
26,thinking,feeling,extraversion,24,0.96,0.76,0.88,0.74,0.50,0.96,0.74,0.008,0.22,0.22,0.84,0.82,0.94,0.90
27,feeling,thinking,introversion,24,0.80,0.92,0.82,0.86,-0.40,0.92,0.80,0.003,0.18,0.16,0.88,0.86,0.90,0.94
28,feeling,thinking,extraversion,24,0.78,0.96,0.86,0.82,0.52,0.96,0.78,0.006,0.20,0.20,0.86,0.84,0.94,0.92
29,sensation,intuition,introversion,24,0.82,0.76,0.92,0.74,-0.36,0.92,0.74,0.006,0.24,0.24,0.80,0.78,0.88,0.86
30,sensation,intuition,extraversion,24,0.84,0.74,0.96,0.72,0.54,0.96,0.72,0.010,0.26,0.28,0.78,0.76,0.92,0.84
31,intuition,sensation,introversion,24,0.80,0.76,0.74,0.92,-0.46,0.92,0.74,0.007,0.22,0.22,0.84,0.92,0.88,0.96
32,intuition,sensation,extraversion,24,0.78,0.74,0.72,0.96,0.54,0.96,0.72,0.011,0.24,0.26,0.82,0.90,0.92,0.94
