doc_id,source_type,culture_group,text
doc_1,dream,synthetic_a,"A child crossed a threshold and found a tree beside dark water."
doc_2,dream,synthetic_a,"A shadow followed the traveler into a cave below the city."
doc_3,dream,synthetic_b,"A guide appeared with fire and led the dreamer toward rebirth."
doc_4,myth,synthetic_b,"The king lost his crown after a flood covered the old road."
doc_5,myth,synthetic_c,"A snake circled the tree while the mother searched for the child."
doc_6,myth,synthetic_c,"The hero descended into a cave and returned with a broken stone."
doc_7,literary,synthetic_a,"At the threshold, a masked figure offered moonlight and fire."
doc_8,literary,synthetic_b,"A lonely child met an elder guide under the sun and tree."
doc_9,literary,synthetic_c,"A double walked through the city carrying a dark mirror."
doc_10,ritual,synthetic_a,"The ritual began with water, descent, silence, and return."
doc_11,ritual,synthetic_b,"The mother placed a seed in a vessel beneath the moon."
doc_12,ritual,synthetic_c,"A trickster stole fire from the king and opened the gate."
doc_13,dream,synthetic_d,"A wounded animal guarded a hidden room where a small light remained."
doc_14,myth,synthetic_d,"The devouring mother became a mountain and the child became a star."
doc_15,literary,synthetic_d,"The traveler met a fool at the gate and lost his name in the city."
doc_16,ritual,synthetic_d,"The vessel was washed with water before the initiate crossed the threshold."
