motif,cluster,description,interpretive_caution
mother,origin_containment,"Origin, nourishment, body, containment, danger, dependency, or engulfment","Do not reduce actual women or mothers to archetypal function."
child,emergence,"Vulnerability, futurity, emergence, latency, renewal, or unrealized wholeness","Do not sentimentalize vulnerability or erase concrete childhood."
shadow,alterity,"Disowned selfhood, feared alterity, projection, moral ambiguity, or psychic conflict","Do not reduce real others to projections."
guide,orientation,"Counsel, teaching, symbolic mediation, ancestor, elder, or helper figure","Do not surrender responsibility to the guide image."
king,authority_order,"Authority, law, sovereignty, legitimacy, order, or failed rule","Do not romanticize hierarchy."
threshold,transition,"Boundary, passage, initiation, crisis, decision, or liminal transformation","Do not assume every change is initiation."
flood,chaos_cleansing,"Overwhelm, judgment, cleansing, chaos, ecological force, or dissolution","Interpret within cultural and textual context."
fire,transformation,"Destruction, purification, desire, inspiration, sacrifice, or renewal","Do not treat all fire imagery as transformation."
rebirth,renewal,"Renewal after loss, transformation, emergence, or reorganization","Do not romanticize suffering."
snake,instinct_chthonic,"Instinct, danger, healing, renewal, knowledge, poison, or underworld life","Avoid fixed dream-dictionary meanings."
tree,axis_growth,"Growth, ancestry, axis, rootedness, life, world structure, or renewal","Interpret through context and sequence."
cave,descent_containment,"Descent, hiding, underworld, womb, initiation, danger, or shelter","Distinguish regression, protection, and transformation."
sun,illumination,"Consciousness, illumination, authority, vision, or ordering principle","Avoid universal solar symbolism."
moon,cyclicity,"Cycle, night, reflection, change, body, imagination, or hidden rhythm","Avoid gender-essentialist assumptions."
descent,underworld,"Crisis, grief, depression, initiation, encounter, or return to depths","Do not romanticize depression or trauma."
return,integration,"Reentry, reintegration, restoration, or transformed social participation","Do not assume all returns are healing."
double,mirror_shadow,"Mirror, shadow, alter ego, conflict, repetition, or self-division","Do not collapse the other into the self."
mask,persona,"Persona, concealment, performance, identity, or social adaptation","Do not treat all social form as false."
water,affect_depth,"Affect, depth, unconscious life, dissolution, birth, or danger","Distinguish personal association and symbolic pattern."
city,order_collective,"Collective order, civilization, institution, enclosure, or symbolic center","Interpret with social and political context."
stone,center_durability,"Stability, burden, foundation, secret, sacred center, or hardened affect","Avoid automatic Self interpretation."
vessel,containment,"Containment, transformation, body, womb, alchemical form, or ritual object","Interpret concrete function first."
trickster,disruption,"Boundary crossing, inversion, deception, creativity, disorder, or exposure","Do not romanticize deceit or harm."
hero,ordeal,"Separation, ordeal, confrontation, courage, differentiation, or return","Do not turn every conflict into heroic destiny."
gate,threshold,"Entry, exclusion, boundary, passage, institution, or test","Ask who controls passage and why."
mirror,reflection,"Self-recognition, doubling, vanity, truth, distortion, or image","Do not assume reflection equals insight."
seed,latency,"Potential, origin, future, hidden growth, or small beginning","Do not overinterpret without narrative context."
