case_id,individuation_pathway,time,ego_coherence,persona_identification,shadow_acknowledgment,symbolic_relation,complex_activation,reflective_capacity,body_awareness,ethical_accountability,relational_life,dream_function,onesidedness,compensation_pressure,depth_self_integration,individuation_score
1,persona_crisis,1,0.62,0.88,0.28,0.34,0.58,0.42,0.36,0.34,0.40,0.38,0.72,0.64,0.30,0.28
2,shadow_encounter,1,0.58,0.76,0.44,0.38,0.64,0.46,0.34,0.38,0.42,0.40,0.68,0.66,0.34,0.32
3,symbolic_awakening,1,0.60,0.72,0.36,0.52,0.50,0.50,0.38,0.40,0.44,0.54,0.58,0.56,0.42,0.40
4,complex_repetition,1,0.46,0.78,0.30,0.34,0.84,0.34,0.30,0.30,0.36,0.42,0.86,0.78,0.22,0.18
5,midlife_reorganization,1,0.56,0.82,0.38,0.46,0.62,0.44,0.36,0.36,0.40,0.48,0.70,0.68,0.34,0.30
6,ethical_reckoning,1,0.54,0.70,0.42,0.40,0.68,0.48,0.34,0.54,0.46,0.44,0.66,0.70,0.36,0.34
7,persona_crisis,8,0.68,0.66,0.50,0.54,0.48,0.58,0.48,0.50,0.54,0.56,0.48,0.54,0.54,0.56
8,shadow_encounter,8,0.66,0.62,0.64,0.56,0.52,0.62,0.50,0.56,0.56,0.58,0.44,0.56,0.62,0.64
9,symbolic_awakening,8,0.68,0.60,0.56,0.72,0.42,0.66,0.52,0.58,0.58,0.76,0.36,0.48,0.70,0.72
10,complex_repetition,8,0.54,0.70,0.46,0.50,0.76,0.48,0.40,0.44,0.48,0.52,0.72,0.74,0.42,0.38
11,midlife_reorganization,8,0.64,0.62,0.58,0.66,0.54,0.60,0.50,0.52,0.54,0.68,0.50,0.60,0.62,0.64
12,ethical_reckoning,8,0.62,0.58,0.62,0.58,0.58,0.66,0.48,0.70,0.60,0.60,0.46,0.60,0.64,0.66
13,persona_crisis,16,0.76,0.46,0.70,0.72,0.36,0.76,0.64,0.68,0.70,0.74,0.26,0.40,0.78,0.82
14,shadow_encounter,16,0.74,0.44,0.82,0.72,0.40,0.78,0.66,0.74,0.72,0.72,0.22,0.42,0.84,0.86
15,symbolic_awakening,16,0.76,0.42,0.70,0.88,0.32,0.82,0.68,0.76,0.74,0.90,0.18,0.34,0.88,0.90
16,complex_repetition,16,0.64,0.56,0.62,0.66,0.62,0.62,0.54,0.58,0.60,0.68,0.48,0.62,0.60,0.58
17,midlife_reorganization,16,0.74,0.44,0.74,0.82,0.38,0.78,0.64,0.70,0.70,0.82,0.20,0.38,0.84,0.88
18,ethical_reckoning,16,0.72,0.40,0.76,0.74,0.42,0.82,0.62,0.88,0.76,0.76,0.22,0.42,0.82,0.86
19,persona_crisis,24,0.84,0.28,0.82,0.84,0.28,0.88,0.76,0.78,0.82,0.84,0.12,0.28,0.92,0.94
20,shadow_encounter,24,0.82,0.30,0.92,0.82,0.30,0.90,0.78,0.86,0.84,0.84,0.10,0.30,0.94,0.96
21,symbolic_awakening,24,0.84,0.28,0.84,0.96,0.24,0.92,0.80,0.86,0.84,0.96,0.08,0.24,0.98,0.98
22,complex_repetition,24,0.72,0.42,0.74,0.76,0.48,0.76,0.66,0.72,0.74,0.78,0.28,0.48,0.74,0.76
23,midlife_reorganization,24,0.82,0.30,0.86,0.92,0.28,0.90,0.76,0.82,0.82,0.90,0.10,0.28,0.96,0.98
24,ethical_reckoning,24,0.80,0.30,0.86,0.84,0.32,0.92,0.76,0.96,0.86,0.86,0.10,0.32,0.94,0.96
