case_id,dominant_function,dominant_attitude,time,conscious_orientation,persona_identification,shadow_acknowledgment,symbolic_relation,typological_flexibility,complex_activation,unconscious_compensation,reflective_capacity,developmental_integration,onesidedness,personality_state
1,thinking,introverted,1,0.78,0.76,0.26,0.34,0.28,0.58,0.66,0.42,0.30,0.72,0.42
2,thinking,extraverted,1,0.82,0.80,0.24,0.30,0.26,0.60,0.68,0.40,0.28,0.76,0.44
3,feeling,introverted,1,0.70,0.72,0.30,0.38,0.32,0.52,0.60,0.44,0.34,0.66,0.46
4,feeling,extraverted,1,0.74,0.78,0.28,0.36,0.30,0.54,0.62,0.42,0.32,0.70,0.48
5,sensation,introverted,1,0.72,0.74,0.24,0.26,0.26,0.56,0.64,0.38,0.28,0.74,0.40
6,sensation,extraverted,1,0.80,0.82,0.22,0.24,0.24,0.58,0.66,0.36,0.26,0.78,0.42
7,intuition,introverted,1,0.68,0.68,0.32,0.50,0.34,0.50,0.56,0.46,0.40,0.60,0.50
8,intuition,extraverted,1,0.72,0.74,0.30,0.48,0.32,0.52,0.58,0.44,0.38,0.64,0.52
9,thinking,introverted,8,0.82,0.64,0.44,0.52,0.46,0.46,0.52,0.58,0.54,0.46,0.62
10,thinking,extraverted,8,0.86,0.68,0.42,0.48,0.44,0.48,0.54,0.56,0.52,0.50,0.64
11,feeling,introverted,8,0.76,0.60,0.48,0.56,0.50,0.42,0.50,0.60,0.58,0.42,0.66
12,feeling,extraverted,8,0.80,0.66,0.46,0.54,0.48,0.44,0.52,0.58,0.56,0.46,0.68
13,sensation,introverted,8,0.78,0.62,0.40,0.42,0.44,0.46,0.54,0.52,0.50,0.52,0.58
14,sensation,extraverted,8,0.84,0.70,0.38,0.40,0.42,0.48,0.56,0.50,0.48,0.56,0.60
15,intuition,introverted,8,0.76,0.56,0.52,0.70,0.56,0.40,0.46,0.64,0.66,0.34,0.72
16,intuition,extraverted,8,0.80,0.62,0.50,0.68,0.54,0.42,0.48,0.62,0.64,0.38,0.74
17,thinking,introverted,16,0.84,0.46,0.64,0.72,0.70,0.34,0.36,0.76,0.78,0.24,0.82
18,thinking,extraverted,16,0.88,0.50,0.62,0.68,0.68,0.36,0.38,0.74,0.76,0.28,0.84
19,feeling,introverted,16,0.80,0.42,0.68,0.74,0.72,0.30,0.34,0.78,0.82,0.20,0.86
20,feeling,extraverted,16,0.84,0.48,0.66,0.72,0.70,0.32,0.36,0.76,0.80,0.24,0.88
21,sensation,introverted,16,0.82,0.44,0.60,0.60,0.66,0.34,0.40,0.70,0.74,0.30,0.78
22,sensation,extraverted,16,0.88,0.52,0.58,0.58,0.64,0.36,0.42,0.68,0.72,0.34,0.80
23,intuition,introverted,16,0.82,0.38,0.72,0.86,0.78,0.28,0.30,0.82,0.88,0.16,0.92
24,intuition,extraverted,16,0.86,0.44,0.70,0.84,0.76,0.30,0.32,0.80,0.86,0.20,0.94
25,thinking,introverted,24,0.88,0.32,0.78,0.86,0.84,0.24,0.24,0.88,0.92,0.10,0.94
26,thinking,extraverted,24,0.92,0.36,0.76,0.82,0.82,0.26,0.26,0.86,0.90,0.14,0.96
27,feeling,introverted,24,0.86,0.30,0.82,0.88,0.86,0.20,0.22,0.90,0.94,0.08,0.98
28,feeling,extraverted,24,0.90,0.34,0.80,0.86,0.84,0.22,0.24,0.88,0.92,0.12,0.98
29,sensation,introverted,24,0.88,0.32,0.74,0.76,0.80,0.24,0.28,0.82,0.86,0.16,0.90
30,sensation,extraverted,24,0.92,0.38,0.72,0.74,0.78,0.26,0.30,0.80,0.84,0.20,0.92
31,intuition,introverted,24,0.88,0.28,0.86,0.96,0.90,0.18,0.18,0.92,0.98,0.06,1.00
32,intuition,extraverted,24,0.92,0.32,0.84,0.94,0.88,0.20,0.20,0.90,0.96,0.08,1.00
