case_id,person_id,time,symbolic_pattern,unrealized_capacity,affective_charge,relational_trigger,reflective_mediation,gender_code_rigidity,symbolic_flexibility,symbolic_discrepancy,projection_intensity,projection_rigidity,symbolic_integration
1,1,1,erotic_idealization,0.78,0.86,0.62,0.34,0.58,0.32,1.04,1.28,0.98,0.18
2,1,2,erotic_idealization,0.82,0.92,0.68,0.42,0.54,0.40,0.96,1.24,0.88,0.30
3,1,3,erotic_idealization,0.74,0.76,0.54,0.56,0.46,0.56,0.64,0.88,0.58,0.52
4,1,4,erotic_idealization,0.66,0.58,0.42,0.72,0.34,0.72,0.34,0.52,0.28,0.74
5,2,1,critical_authority,0.58,0.70,0.84,0.28,0.86,0.30,1.14,1.22,1.06,0.12
6,2,2,critical_authority,0.62,0.66,0.82,0.38,0.78,0.40,1.00,1.10,0.92,0.26
7,2,3,critical_authority,0.56,0.54,0.68,0.54,0.62,0.58,0.62,0.76,0.58,0.50
8,2,4,critical_authority,0.48,0.42,0.54,0.70,0.44,0.72,0.42,0.46,0.30,0.72
9,3,1,guiding_other,0.70,0.62,0.74,0.44,0.42,0.52,0.60,0.88,0.54,0.48
10,3,2,guiding_other,0.72,0.66,0.78,0.54,0.36,0.62,0.46,0.78,0.42,0.62
11,3,3,guiding_other,0.66,0.58,0.64,0.68,0.28,0.76,0.38,0.54,0.24,0.80
12,3,4,guiding_other,0.58,0.46,0.52,0.82,0.20,0.88,0.50,0.32,0.12,0.96
13,4,1,hostile_projection,0.64,0.96,0.78,0.22,0.74,0.24,1.14,1.42,1.24,0.02
14,4,2,hostile_projection,0.68,0.88,0.72,0.34,0.68,0.34,1.02,1.22,0.98,0.18
15,4,3,hostile_projection,0.58,0.72,0.58,0.50,0.52,0.50,0.60,0.82,0.60,0.44
16,4,4,hostile_projection,0.46,0.54,0.42,0.68,0.36,0.70,0.60,0.46,0.28,0.70
17,5,1,fluid_symbolic_otherness,0.50,0.48,0.46,0.56,-0.42,0.80,0.30,0.24,0.04,0.78
18,5,2,fluid_symbolic_otherness,0.52,0.46,0.44,0.66,-0.50,0.90,0.38,0.14,-0.04,0.92
19,5,3,fluid_symbolic_otherness,0.48,0.40,0.38,0.78,-0.58,1.02,0.54,0.04,-0.12,1.08
20,5,4,fluid_symbolic_otherness,0.42,0.34,0.32,0.88,-0.66,1.12,0.70,-0.06,-0.20,1.20
21,6,1,high_reflective_mediation,0.62,0.56,0.50,0.84,0.22,0.70,0.30,0.26,0.08,0.82
22,6,2,high_reflective_mediation,0.60,0.48,0.46,0.96,0.16,0.82,0.38,0.10,-0.04,1.00
23,6,3,high_reflective_mediation,0.54,0.40,0.38,1.08,0.10,0.94,0.40,-0.04,-0.16,1.14
24,6,4,high_reflective_mediation,0.48,0.34,0.30,1.18,0.04,1.04,0.56,-0.16,-0.24,1.26
