case_id,symbolic_stage,time,nigredo_pressure,albedo_clarity,rubedo_vitality,vessel_strength,onesidedness,mercurial_volatility,shadow_intensity,affective_heat,pole_x,pole_y
1,nigredo,1,0.88,0.28,0.22,0.52,0.82,0.74,0.86,0.80,0.72,-0.68
2,albedo,1,0.56,0.76,0.42,0.66,0.58,0.48,0.54,0.52,0.62,-0.38
3,rubedo,1,0.42,0.64,0.82,0.78,0.38,0.36,0.40,0.44,0.56,0.42
4,coniunctio,1,0.60,0.70,0.68,0.74,0.46,0.62,0.58,0.60,0.76,0.70
5,vessel_work,1,0.72,0.58,0.48,0.88,0.62,0.54,0.70,0.66,0.68,-0.48
6,mercurial_crisis,1,0.76,0.44,0.36,0.50,0.70,0.90,0.72,0.78,0.64,-0.60
7,nigredo,2,0.82,0.34,0.28,0.58,0.76,0.70,0.80,0.74,0.68,-0.58
8,albedo,2,0.50,0.82,0.48,0.72,0.50,0.44,0.48,0.46,0.62,-0.26
9,rubedo,2,0.36,0.70,0.88,0.84,0.30,0.32,0.34,0.38,0.60,0.54
10,coniunctio,2,0.54,0.76,0.76,0.82,0.38,0.56,0.50,0.54,0.80,0.76
11,vessel_work,2,0.66,0.66,0.56,0.94,0.54,0.48,0.62,0.58,0.70,-0.30
12,mercurial_crisis,2,0.70,0.52,0.44,0.58,0.62,0.84,0.66,0.70,0.66,-0.48
