doc_id,source_type,culture_group,time_period,title,text
1,myth_synthetic,comparative_placeholder,ancient_pattern,"Descent Narrative","The seeker approaches the threshold and descends into the cave. In the depth there is water, shadow, a serpent, and a guide. The return begins when the center is found."
2,myth_synthetic,comparative_placeholder,ancient_pattern,"Flood and Renewal","The flood covers the road and the city. A child is carried over the water. At dawn the tree appears, and renewal begins after the sacrifice."
3,dream_report_synthetic,synthetic_private,modern_synthetic,"Dream of the Locked Temple","I saw a temple at the center of a forest. A mask lay beside a road. A guide pointed toward a threshold under the roots of a tree."
4,dream_report_synthetic,synthetic_private,modern_synthetic,"Dream of the Serpent Road","A serpent crossed the road near a cave. I felt fear and curiosity. A child stood behind me and asked why the shadow was following."
5,ritual_text_public_domain_placeholder,public_domain_placeholder,historical_placeholder,"Ritual of Return","Fire is carried to the center. The people cross the threshold, speak of sacrifice, and remember the road of descent and return."
6,literary_text_public_domain_placeholder,public_domain_placeholder,modern_placeholder,"The Ruined City","In the ruined city a masked stranger searches for a tree. The monster sleeps beneath the temple while the child waits for dawn."
7,political_speech_synthetic,synthetic_public,modern_synthetic,"Renewal Speech","The nation is told of betrayal, enemy, renewal, sacrifice, and a return to greatness. The leader speaks of fire, purity, and destiny."
8,political_speech_synthetic,synthetic_public,modern_synthetic,"Reconciliation Speech","The city remembers flood, grief, loss, repair, return, and shared responsibility. The speaker names the shadow and refuses revenge."
9,myth_synthetic,comparative_placeholder,ancient_pattern,"World Tree Narrative","The tree stands at the center. Its roots descend to the underworld and its branches hold the fire of dawn. A serpent guards the threshold."
10,literary_text_public_domain_placeholder,public_domain_placeholder,modern_placeholder,"The Mask and the Mirror","A masked actor crosses a road into a forest. At the center, a mirror reveals a shadow, a child, and a forgotten guide."
