dream_id,person_id,time,phase,dream_series_type,text
1,1,1,early,persona_correction,"I stood on a stage wearing a mask. Behind the curtain was a locked room and a shadow moved near the door."
2,1,2,early,persona_correction,"The mask cracked in a mirror. A child waited by a stairway and pointed toward an unopened room."
3,1,3,middle,persona_correction,"I entered the room and found a window, a road, and a guide holding a map."
4,1,4,late,persona_correction,"The house had a center with a tree growing through the floor. The mask was gone."
5,2,1,early,developmental_transition,"A bridge crossed dark water but the path was broken. I heard a guide calling from the other side."
6,2,2,middle,developmental_transition,"The bridge was repaired with wood and stone. A child carried a seed across the water."
7,2,3,middle,developmental_transition,"A garden appeared near the road. Dawn light touched a gate."
8,2,4,late,developmental_transition,"I crossed the bridge and found a circular temple with a tree at the center."
9,3,1,early,shadow_confrontation,"A snake followed me through a house. I ran into a room with no window."
10,3,2,middle,shadow_confrontation,"The snake became an animal guarding a door. I felt fear but did not run."
11,3,3,middle,shadow_confrontation,"A stranger opened the door and showed me a river beside a road."
12,3,4,late,shadow_confrontation,"The animal walked beside me on the path and the shadow became smaller."
13,4,1,early,center_symbol_emergence,"The city was flooded and I lost my compass. A stone circle appeared under the water."
14,4,2,middle,center_symbol_emergence,"A star reflected in the river. I found a temple under the flood."
15,4,3,middle,center_symbol_emergence,"Inside the temple was a center, a tree, and a quiet child."
16,4,4,late,center_symbol_emergence,"The flood receded and a road led from the circle toward dawn."
17,5,1,early,trauma_repetition,"Fire surrounded the house and every door was locked. I heard rain but could not reach it."
18,5,2,middle,trauma_repetition,"Again the house burned. A window opened but the path disappeared."
19,5,3,middle,trauma_repetition,"Rain entered the room. A guide stood outside but did not speak."
20,5,4,late,trauma_repetition,"The fire became ash. A small garden appeared where the house had been."
21,6,1,early,repetitive_compensatory,"I was in a crowded room pretending to smile. A shadow animal scratched at the wall."
22,6,2,middle,repetitive_compensatory,"The room grew smaller. Water rose around my shoes and the animal waited by the door."
23,6,3,middle,repetitive_compensatory,"I opened the door and saw a road leading away from the crowd."
24,6,4,late,repetitive_compensatory,"On the road I found a stone, a tree, and a child asleep in dawn light."
