concept_id,concept_family,time,interpretive_breadth,empirical_support,cultural_specificity,gender_critical_revision,methodological_explicitness,clinical_utility,symbolic_usefulness,universalization,problematic_inherited_assumptions
1,archetypes,1,0.88,0.35,0.45,0.42,0.50,0.58,0.86,0.78,0.55
2,collective_unconscious,1,0.82,0.28,0.39,0.36,0.44,0.49,0.80,0.84,0.62
3,symbolic_interpretation,1,0.91,0.43,0.61,0.54,0.66,0.74,0.90,0.48,0.36
4,individuation,1,0.76,0.42,0.52,0.50,0.58,0.68,0.78,0.57,0.41
5,anima_animus,1,0.70,0.31,0.43,0.38,0.46,0.54,0.66,0.62,0.82
6,synchronicity,1,0.79,0.22,0.46,0.41,0.40,0.42,0.70,0.70,0.54
7,shadow,1,0.74,0.46,0.63,0.58,0.70,0.82,0.84,0.39,0.30
8,persona,1,0.68,0.48,0.66,0.55,0.71,0.73,0.76,0.35,0.28
9,clinical_method,1,0.72,0.56,0.60,0.53,0.74,0.86,0.73,0.32,0.29
10,archetypes,2,0.90,0.38,0.52,0.49,0.58,0.61,0.88,0.70,0.49
11,collective_unconscious,2,0.84,0.31,0.45,0.42,0.52,0.52,0.82,0.76,0.56
12,symbolic_interpretation,2,0.92,0.47,0.68,0.61,0.74,0.78,0.91,0.41,0.31
13,individuation,2,0.78,0.45,0.60,0.58,0.66,0.72,0.81,0.50,0.35
14,anima_animus,2,0.72,0.34,0.50,0.57,0.58,0.57,0.68,0.54,0.66
15,synchronicity,2,0.80,0.25,0.52,0.47,0.50,0.45,0.72,0.64,0.48
16,shadow,2,0.76,0.50,0.70,0.64,0.78,0.85,0.86,0.32,0.24
17,persona,2,0.70,0.52,0.72,0.62,0.78,0.77,0.78,0.29,0.22
18,clinical_method,2,0.74,0.61,0.67,0.60,0.82,0.89,0.76,0.27,0.24
