case_id,midlife_pattern,time,adaptation_strength,persona_identification,symbolic_activation,unlived_life_pressure,finitude_awareness,outward_inward_discrepancy,individuation_pressure,shadow_integration,reflective_capacity,meaning_coherence,second_half_orientation
1,persona_exhaustion,1,0.84,0.88,0.28,0.42,0.30,0.46,0.32,0.22,0.36,0.58,0.26
2,career_meaning_loss,1,0.88,0.82,0.30,0.46,0.28,0.50,0.34,0.24,0.38,0.56,0.28
3,relational_reckoning,1,0.76,0.74,0.32,0.52,0.34,0.54,0.38,0.28,0.34,0.50,0.30
4,creative_return,1,0.70,0.68,0.44,0.58,0.30,0.48,0.46,0.34,0.42,0.54,0.40
5,spiritual_reorientation,1,0.72,0.70,0.48,0.50,0.40,0.46,0.48,0.36,0.44,0.56,0.42
6,finitude_crisis,1,0.80,0.76,0.34,0.48,0.58,0.56,0.46,0.30,0.36,0.48,0.34
7,persona_exhaustion,8,0.78,0.76,0.44,0.58,0.44,0.62,0.52,0.40,0.48,0.50,0.46
8,career_meaning_loss,8,0.80,0.72,0.46,0.62,0.42,0.66,0.56,0.42,0.50,0.48,0.48
9,relational_reckoning,8,0.68,0.66,0.48,0.68,0.48,0.70,0.60,0.46,0.50,0.46,0.50
10,creative_return,8,0.64,0.60,0.62,0.70,0.44,0.60,0.66,0.56,0.60,0.56,0.62
11,spiritual_reorientation,8,0.66,0.62,0.66,0.60,0.56,0.58,0.68,0.58,0.62,0.58,0.64
12,finitude_crisis,8,0.72,0.66,0.50,0.60,0.74,0.72,0.66,0.48,0.52,0.44,0.54
13,persona_exhaustion,16,0.64,0.58,0.64,0.66,0.60,0.50,0.68,0.62,0.66,0.64,0.68
14,career_meaning_loss,16,0.66,0.54,0.66,0.70,0.58,0.52,0.72,0.64,0.68,0.66,0.70
15,relational_reckoning,16,0.58,0.50,0.64,0.72,0.62,0.56,0.74,0.66,0.70,0.62,0.72
16,creative_return,16,0.58,0.46,0.78,0.66,0.56,0.42,0.78,0.74,0.76,0.76,0.80
17,spiritual_reorientation,16,0.60,0.48,0.82,0.58,0.70,0.44,0.80,0.72,0.78,0.78,0.82
18,finitude_crisis,16,0.62,0.52,0.70,0.64,0.86,0.58,0.78,0.66,0.72,0.66,0.76
19,persona_exhaustion,24,0.56,0.44,0.78,0.58,0.72,0.34,0.80,0.76,0.78,0.82,0.84
20,career_meaning_loss,24,0.58,0.42,0.80,0.62,0.70,0.36,0.82,0.78,0.80,0.84,0.86
21,relational_reckoning,24,0.52,0.38,0.76,0.60,0.72,0.40,0.82,0.80,0.82,0.80,0.84
22,creative_return,24,0.54,0.34,0.90,0.56,0.68,0.28,0.88,0.86,0.86,0.92,0.92
23,spiritual_reorientation,24,0.56,0.36,0.92,0.50,0.82,0.30,0.90,0.84,0.88,0.94,0.94
24,finitude_crisis,24,0.56,0.40,0.84,0.54,0.90,0.38,0.88,0.80,0.84,0.86,0.90
