symbol_id,tradition_layer,time,recurrence,specificity,linguistic_depth,ritual_context,dialogical_accountability,universalizing_force,abstraction_pressure,contextual_divergence,functional_convergence
1,south_asian,1,0.72,0.81,0.76,0.84,0.73,0.31,0.34,0.42,0.58
2,east_asian,1,0.68,0.78,0.74,0.69,0.70,0.35,0.39,0.46,0.54
3,islamic,1,0.63,0.86,0.82,0.79,0.77,0.28,0.32,0.51,0.49
4,indigenous,1,0.59,0.91,0.69,0.88,0.84,0.24,0.29,0.63,0.44
5,african,1,0.66,0.83,0.65,0.86,0.80,0.27,0.31,0.57,0.50
6,diasporic,1,0.70,0.79,0.67,0.82,0.81,0.30,0.36,0.59,0.55
7,comparative_bridge,1,0.82,0.58,0.54,0.49,0.52,0.68,0.71,0.74,0.61
8,south_asian,2,0.76,0.84,0.79,0.87,0.77,0.27,0.30,0.39,0.62
9,east_asian,2,0.71,0.81,0.77,0.72,0.74,0.32,0.35,0.43,0.57
10,islamic,2,0.66,0.89,0.85,0.82,0.81,0.25,0.28,0.49,0.52
11,indigenous,2,0.62,0.94,0.72,0.91,0.88,0.20,0.24,0.60,0.47
12,african,2,0.69,0.86,0.68,0.89,0.84,0.23,0.27,0.54,0.53
13,diasporic,2,0.74,0.82,0.70,0.86,0.85,0.26,0.31,0.56,0.59
14,comparative_bridge,2,0.86,0.62,0.57,0.53,0.56,0.62,0.66,0.70,0.65
