case_id,person_id,time,complex_type,trigger_intensity,relational_threat,evaluation_pressure,shame_cue,guilt_cue,unresolved_affect,affect_intensity,complex_activation,regulation_capacity,contextual_support,repetition_probability,projection_pressure,transference_pressure,symbolic_repetition
1,1,1,authority_complex,0.84,0.30,0.94,0.52,0.22,0.78,1.10,1.20,0.24,0.28,0.90,0.68,0.82,courtroom
2,1,2,authority_complex,0.76,0.28,0.86,0.48,0.20,0.74,0.98,1.06,0.34,0.36,0.80,0.58,0.74,hostile_teacher
3,1,3,authority_complex,0.56,0.24,0.62,0.36,0.16,0.62,0.72,0.76,0.48,0.50,0.60,0.40,0.54,examination_room
4,1,4,authority_complex,0.38,0.18,0.40,0.24,0.12,0.48,0.46,0.48,0.64,0.66,0.34,0.24,0.34,open_gate
5,2,1,abandonment_complex,0.72,0.90,0.24,0.34,0.18,0.82,1.02,1.10,0.26,0.28,0.88,0.60,0.76,empty_house
6,2,2,abandonment_complex,0.66,0.78,0.20,0.30,0.16,0.76,0.90,0.98,0.34,0.36,0.78,0.52,0.68,locked_door
7,2,3,abandonment_complex,0.48,0.58,0.16,0.24,0.14,0.62,0.64,0.68,0.48,0.50,0.56,0.36,0.48,missed_train
8,2,4,abandonment_complex,0.32,0.38,0.12,0.18,0.10,0.44,0.40,0.42,0.64,0.66,0.32,0.20,0.28,returning_child
9,3,1,shame_complex,0.60,0.42,0.76,0.96,0.36,0.86,1.16,1.24,0.22,0.24,0.92,0.76,0.70,public_exposure
10,3,2,shame_complex,0.54,0.38,0.68,0.88,0.32,0.80,1.04,1.10,0.30,0.32,0.84,0.68,0.62,broken_mirror
11,3,3,shame_complex,0.40,0.30,0.50,0.62,0.24,0.62,0.74,0.78,0.46,0.48,0.60,0.46,0.44,covered_face
12,3,4,shame_complex,0.26,0.22,0.32,0.40,0.18,0.44,0.48,0.46,0.62,0.64,0.34,0.26,0.26,clear_window
13,4,1,inferiority_complex,0.62,0.36,0.78,0.82,0.28,0.80,1.02,1.06,0.26,0.30,0.84,0.62,0.58,small_room
14,4,2,inferiority_complex,0.56,0.32,0.68,0.74,0.24,0.72,0.90,0.94,0.36,0.38,0.74,0.54,0.50,distant_stage
15,4,3,inferiority_complex,0.42,0.26,0.50,0.56,0.20,0.58,0.66,0.68,0.50,0.52,0.54,0.38,0.36,uneven_ladder
16,4,4,inferiority_complex,0.28,0.20,0.34,0.38,0.14,0.40,0.42,0.44,0.64,0.68,0.30,0.22,0.22,level_floor
17,5,1,guilt_complex,0.54,0.44,0.48,0.36,0.96,0.84,1.04,1.12,0.24,0.26,0.86,0.58,0.64,heavy_book
18,5,2,guilt_complex,0.48,0.38,0.44,0.32,0.86,0.76,0.92,0.98,0.34,0.34,0.76,0.50,0.56,locked_chapel
19,5,3,guilt_complex,0.36,0.30,0.34,0.26,0.60,0.58,0.66,0.68,0.48,0.50,0.54,0.34,0.38,burdened_hands
20,5,4,guilt_complex,0.24,0.22,0.24,0.18,0.38,0.40,0.42,0.40,0.64,0.66,0.30,0.20,0.24,open_field
21,6,1,caregiving_complex,0.70,0.62,0.46,0.44,0.58,0.76,0.88,0.94,0.30,0.24,0.78,0.50,0.56,burdened_animal
22,6,2,caregiving_complex,0.64,0.56,0.42,0.40,0.52,0.70,0.80,0.86,0.38,0.32,0.68,0.44,0.50,empty_vessel
23,6,3,caregiving_complex,0.46,0.40,0.32,0.30,0.36,0.54,0.58,0.60,0.52,0.48,0.48,0.30,0.34,broken_cup
24,6,4,caregiving_complex,0.32,0.28,0.22,0.20,0.24,0.36,0.36,0.38,0.66,0.64,0.28,0.18,0.22,shared_table
