concept,domain,definition,responsible_use_note
ego,structure,Center of conscious identity and orientation,Do not confuse ego with the whole psyche.
personal_unconscious,structure,Biographical unconscious material including forgotten repressed neglected and unfinished contents,Begin with biography before archetypal amplification.
complex,clinical,Affectively charged cluster of memory image expectation and association,Do not use complex language as diagnosis or blame.
collective_unconscious,symbolic,Recurrent symbolic patterning beyond individual biography,Use cautiously and with cultural context.
archetype,symbolic,Recurrent organizing potential visible through concrete symbolic images,Do not flatten cultural specificity into universal shorthand.
persona,social,Social mask role and adaptive identity,Do not treat all adaptation as false.
shadow,moral,Disowned or unintegrated psychic material,Do not reduce injustice to projection alone.
anima_animus,relational,Inner relational symbolic figures requiring contemporary gender-critical revision,Avoid gender essentialism and binary determinism.
Self,developmental,Psychic totality and ordering principle,Do not identify ego with psychic totality.
individuation,developmental,Process of differentiation integration and psychic maturation,Do not confuse with consumer individualism.
compensation,dynamic,Unconscious balancing of conscious one-sidedness,Do not assume all images are wise or corrective.
projection,relational,Externalization of unresolved psychic material into others,Do not deny real external harm.
active_imagination,method,Disciplined symbolic dialogue with unconscious images,Use only with adequate containment and context.
amplification,method,Contextual expansion of symbolic material through parallels,Do not replace personal association with prefabricated symbolism.
