symbol,cluster,description,interpretive_caution
shadow,shadow,Disowned or unintegrated psychic material,Do not reduce real social conflict to projection alone.
water,affect_depth,Affect depth unconscious feeling grief or transformation,Water imagery varies widely across traditions and contexts.
house,psyche_space,Psychic interior inner rooms personal structure or memory,Do not assume every house image has the same meaning.
child,renewal,Vulnerability potential futurity or unrealized wholeness,Do not sentimentalize childhood or erase real developmental conditions.
door,threshold,Transition boundary opening or blocked passage,Interpret through dream sequence and personal association.
tree,growth,Life growth rootedness world-axis or development,Respect cultural and religious specificity.
night,unconscious,Darkness hiddenness uncertainty or unconscious field,Do not make darkness morally negative by default.
mask,persona,Persona social role concealment or public identity,Do not treat all social adaptation as false.
fire,transformation,Transformation danger purification passion or destruction,Fire may signify harm as well as renewal.
animal,instinct,Embodiment instinct vitality fear or non-rational intelligence,Do not reduce animals to generic instinct symbols.
river,affect_depth,Flow time passage grief transition or movement,Meaning depends on cultural and personal context.
mirror,reflection,Self-knowledge reflection shame or split identity,Interpret through affect and context.
hero,ordeal,Ordeal courage separation or confrontation,Do not turn every conflict into heroic destiny.
cave,descent,Depth womb danger refuge or underworld,Do not romanticize trauma or isolation.
stone,center,Stability weight center or enduring form,Do not assume stone always means Self.
mother,origin,Origin nourishment dependency containment or engulfment,Do not reduce actual women or mothers to symbolic function.
trickster,disruption,Inversion disruption deceit exposure or creative disorder,Do not romanticize harm or irresponsibility.
gate,threshold,Boundary passage initiation or transition,Interpret through narrative position.
serpent,instinct,Instinct danger healing renewal or chthonic energy,Serpent meanings vary dramatically by tradition.
king,authority,Authority sovereignty order father-law or institutional power,Do not idealize hierarchy.
crown,authority,Legitimacy authority status or loss of power,Respect political and historical context.
forest,unconscious,Unknown field wilderness danger refuge or fertility,Do not treat forest as a single universal symbol.
judge,authority,Evaluation conscience law guilt or authority complex,Distinguish real institutional harm from projection.
courtroom,authority,Judgment exposure authority guilt or accusation,Interpret with social and institutional context.
shame,affect,Exposure humiliation self-condemnation or social injury,Do not pathologize appropriate shame or social harm.
grief,affect,Loss mourning transformation and attachment,Do not force premature meaning onto grief.
circle,center,Wholeness boundary recurrence or sacred center,Do not assume all circular forms are mandalas.
light,illumination,Visibility awareness insight or sacred presence,Do not equate light with moral superiority.
road,journey,Path direction life course or developmental movement,Interpret through narrative and cultural context.
