document_id,source_type,phase,text,interpretive_note
doc_001,dream,early,"A shadow crossed the water and entered an empty house.","Synthetic dream-like text with shadow water and psyche-space motifs."
doc_002,dream,early,"A child opened a door beneath a tree at night.","Synthetic threshold and renewal imagery."
doc_003,dream,middle,"A mask fell into fire while an animal watched.","Synthetic persona transformation and instinct imagery."
doc_004,dream,middle,"A river carried a broken mirror through the dark.","Synthetic affect-depth and reflection imagery."
doc_005,myth,middle,"The hero descended into a cave and returned with a stone.","Synthetic ordeal descent and center imagery."
doc_006,myth,middle,"A mother stood beside a tree while the child crossed water.","Synthetic origin growth renewal and affect imagery."
doc_007,myth,transition,"The trickster stole fire and opened the locked gate.","Synthetic disruption transformation and threshold imagery."
doc_008,myth,transition,"A serpent circled the world tree before dawn.","Synthetic instinct growth and cyclical imagery."
doc_009,literary,late,"The house contained many rooms and one hidden door.","Synthetic psyche-space and threshold imagery."
doc_010,literary,late,"A king lost his crown beside a river of ashes.","Synthetic authority loss and affect-depth imagery."
doc_011,literary,transition,"A stranger wearing a mask appeared in the forest.","Synthetic persona and unconscious landscape imagery."
doc_012,literary,transition,"A child followed an animal into a night garden.","Synthetic renewal instinct and unconscious imagery."
doc_013,clinical_narrative,early,"The patient described a recurring dream of water and shadow.","Synthetic clinical-narrative motif recurrence."
doc_014,clinical_narrative,middle,"A supervisor's voice felt like a judge in a courtroom.","Synthetic authority-complex imagery."
doc_015,clinical_narrative,late,"The person avoided the mirror and felt shame in the house.","Synthetic shame reflection and psyche-space imagery."
doc_016,clinical_narrative,late,"After grief the dream showed a tree growing from stone.","Synthetic grief growth and center imagery."
doc_017,active_imagination,transition,"The figure behind the mask asked why the door remained closed.","Synthetic active-imagination dialogue with persona and threshold motifs."
doc_018,active_imagination,late,"The shadow placed a stone in the center of the room.","Synthetic shadow center and psychic-space motifs."
doc_019,religious_symbolism,late,"A circle of light formed around the tree and the child stood silent.","Synthetic center growth renewal and sacred imagery."
doc_020,religious_symbolism,transition,"The river divided the old road from the new gate.","Synthetic transition affect-depth and threshold imagery."
