dream_id,person_id,time,phase,dream_series_type,text
1,1,1,early,persona_correction,"I stood on a stage wearing a mask. Behind the curtain was a locked room and a shadow moved near the door."
2,1,2,early,persona_correction,"The mask cracked in a mirror. A child waited by a stairway and pointed toward an unopened room."
3,1,3,middle,persona_correction,"I entered the room and found a window, a road, and a guide holding a map."
4,1,4,late,persona_correction,"The house had a center with a tree growing through the floor. The mask was gone."
5,2,1,early,shadow_repetition,"A snake followed me through a house. I ran into a room with no window."
6,2,2,middle,shadow_repetition,"The snake became an animal guarding a door. I felt fear but did not run."
7,2,3,middle,shadow_repetition,"A stranger opened the door and showed me a river beside a road."
8,2,4,late,shadow_repetition,"The animal walked beside me on the path and the shadow became smaller."
9,3,1,early,affective_overflow,"Water rose in a hallway and flooded the house. I tried to speak but no sound came."
10,3,2,middle,affective_overflow,"The flood carried a broken vessel toward a child standing on a bridge."
11,3,3,middle,affective_overflow,"Rain entered the room and washed the mirror. I saw a guide outside."
12,3,4,late,affective_overflow,"The river became calm. A road appeared beside the water and a tree stood near the shore."
13,4,1,early,center_symbol_emergence,"The city was dark and I lost my compass. A stone circle appeared beneath the street."
14,4,2,middle,center_symbol_emergence,"A star reflected in a pool. I found a temple below the road."
15,4,3,middle,center_symbol_emergence,"Inside the temple was a center, a tree, and a quiet child."
16,4,4,late,center_symbol_emergence,"The darkness lifted and a road led from the circle toward dawn."
17,5,1,early,ordinary_compensation,"I was late for work and forgot my shoes. A dog waited by the door."
18,5,2,middle,ordinary_compensation,"I returned to the office but found a garden instead of a desk."
19,5,3,middle,ordinary_compensation,"A familiar colleague became a stranger and handed me a key."
20,5,4,late,ordinary_compensation,"The key opened a small room with a window and a chair."
21,6,1,early,developmental_transition,"A bridge crossed dark water but the path was broken. I heard a guide calling from the other side."
22,6,2,middle,developmental_transition,"The bridge was repaired with wood and stone. A child carried a seed across the water."
23,6,3,middle,developmental_transition,"A garden appeared near the road. Dawn light touched a gate."
24,6,4,late,developmental_transition,"I crossed the bridge and found a circular temple with a tree at the center."
