motif,term,motif_family,notes
house_structure,house,structural,House as psychic structure, body, family field, or self-organization
house_structure,room,structural,Room as psychic space, memory, capacity, or hidden interior
house_structure,door,structural,Door as access, threshold, prohibition, or transition
house_structure,stairway,structural,Stairway as movement between levels
house_structure,window,structural,Window as perspective, opening, or distance
water_affect,water,compensatory,Water as affect, unconscious depth, cleansing, or overwhelm
water_affect,flood,compensatory,Flood as affective overflow or dissolution
water_affect,river,compensatory,River as emotional flow, transition, or boundary
water_affect,rain,compensatory,Rain as grief, cleansing, or affective release
child_emergence,child,prospective,Child as future possibility, vulnerability, neglected life, or renewal
child_emergence,seed,prospective,Seed as latent development
child_emergence,garden,prospective,Garden as cultivated renewal or psychic growth
child_emergence,dawn,prospective,Dawn as emergent consciousness or hope
shadow_encounter,shadow,compensatory,Shadow as disowned material or projected content
shadow_encounter,snake,compensatory,Snake as ambivalent instinct, danger, healing, or shadow
shadow_encounter,stranger,compensatory,Stranger as unknown psychic content
shadow_encounter,animal,compensatory,Animal as instinct, body, vitality, or unconscious life
path_transition,road,prospective,Road as direction or developmental path
path_transition,path,prospective,Path as symbolic movement
path_transition,bridge,prospective,Bridge as transition between divided states
path_transition,gate,prospective,Gate as liminal passage
fire_transformation,fire,compensatory,Fire as destruction, transformation, or intensity
fire_transformation,ash,compensatory,Ash as aftermath or residue of transformation
persona_mask,mask,compensatory,Mask as persona, social adaptation, or concealment
persona_mask,stage,compensatory,Stage as public persona or social performance
persona_mask,curtain,compensatory,Curtain as hidden layer or backstage space
persona_mask,mirror,compensatory,Mirror as self-recognition or exposure
center_orientation,circle,prospective,Circle as ordering image or wholeness tendency
center_orientation,center,prospective,Center as psychic orientation
center_orientation,temple,prospective,Temple as symbolic order or sacred center
center_orientation,tree,prospective,Tree as growth, rootedness, and axial order
center_orientation,stone,prospective,Stone as durable center or symbolic ground
guidance,guide,prospective,Guide as symbolic mediation or orientation
guidance,map,prospective,Map as orientation
guidance,star,prospective,Star as distant guidance or direction
guidance,compass,prospective,Compass as direction and orientation
ordinary_life,work,local,Work as ordinary life, adaptation, role, or responsibility
ordinary_life,office,local,Office as institutional or occupational setting
ordinary_life,desk,local,Desk as work role or task environment
ordinary_life,shoes,local,Shoes as readiness, adaptation, or grounded movement
ordinary_life,key,structural,Key as access, permission, or interpretive opening
