case_id,person_id,time,dream_series_type,conscious_onesidedness,unconscious_pressure,affective_intensity,symbolic_repertoire,latent_development,reflective_capacity,previous_dream_output,compensatory_signal,symbolic_recurrence,dream_output,integration_signal
1,1,1,persona_correction,0.86,0.70,0.72,0.44,0.30,0.34,0.10,0.62,0.22,0.58,0.20
2,1,2,persona_correction,0.78,0.72,0.66,0.48,0.42,0.42,0.58,0.56,0.44,0.62,0.34
3,1,3,persona_correction,0.62,0.68,0.56,0.54,0.58,0.52,0.62,0.44,0.64,0.70,0.54
4,1,4,persona_correction,0.46,0.58,0.44,0.62,0.74,0.64,0.70,0.32,0.82,0.76,0.70
5,2,1,shadow_repetition,0.74,0.90,0.84,0.38,0.32,0.30,0.12,0.76,0.24,0.66,0.22
6,2,2,shadow_repetition,0.68,0.84,0.76,0.44,0.46,0.40,0.66,0.68,0.50,0.72,0.42
7,2,3,shadow_repetition,0.56,0.76,0.64,0.50,0.62,0.52,0.72,0.54,0.70,0.78,0.60
8,2,4,shadow_repetition,0.42,0.62,0.52,0.58,0.78,0.64,0.78,0.40,0.86,0.82,0.78
9,3,1,affective_overflow,0.58,0.86,0.96,0.36,0.30,0.28,0.14,0.88,0.24,0.72,0.14
10,3,2,affective_overflow,0.56,0.82,0.88,0.42,0.42,0.38,0.72,0.78,0.44,0.76,0.30
11,3,3,affective_overflow,0.50,0.72,0.72,0.50,0.58,0.50,0.76,0.62,0.66,0.78,0.50
12,3,4,affective_overflow,0.40,0.60,0.54,0.60,0.76,0.62,0.78,0.44,0.84,0.82,0.70
13,4,1,center_symbol_emergence,0.64,0.76,0.70,0.50,0.56,0.38,0.10,0.60,0.58,0.62,0.48
14,4,2,center_symbol_emergence,0.54,0.68,0.62,0.58,0.72,0.50,0.62,0.48,0.76,0.72,0.66
15,4,3,center_symbol_emergence,0.42,0.58,0.52,0.68,0.88,0.62,0.72,0.36,0.94,0.82,0.84
16,4,4,center_symbol_emergence,0.30,0.48,0.44,0.78,1.02,0.76,0.82,0.26,1.06,0.90,0.98
17,5,1,ordinary_compensation,0.66,0.58,0.48,0.34,0.26,0.42,0.08,0.36,0.22,0.38,0.26
18,5,2,ordinary_compensation,0.62,0.56,0.44,0.38,0.34,0.46,0.38,0.32,0.34,0.42,0.34
19,5,3,ordinary_compensation,0.56,0.54,0.40,0.42,0.44,0.52,0.42,0.28,0.46,0.50,0.46
20,5,4,ordinary_compensation,0.48,0.50,0.36,0.50,0.56,0.60,0.50,0.22,0.60,0.58,0.58
21,6,1,developmental_transition,0.58,0.64,0.62,0.42,0.48,0.42,0.08,0.46,0.50,0.54,0.42
22,6,2,developmental_transition,0.52,0.60,0.56,0.50,0.64,0.50,0.54,0.40,0.68,0.66,0.58
23,6,3,developmental_transition,0.44,0.54,0.48,0.58,0.80,0.60,0.66,0.34,0.84,0.76,0.72
24,6,4,developmental_transition,0.34,0.48,0.40,0.68,0.94,0.70,0.76,0.26,0.96,0.82,0.86
