case_id,person_id,time,dominant_pattern,differentiation,function_balance,reflective_flexibility,unconscious_pressure,persona_identification,shadow_activation,one_sidedness,ego_coherence,ego_rigidity,ego_inflation,psychic_strain,individuation_readiness
1,1,1,balanced_differentiation,0.50,0.70,0.62,0.36,0.30,0.32,0.20,0.58,0.22,0.18,0.30,0.52
2,1,2,balanced_differentiation,0.62,0.76,0.68,0.34,0.28,0.34,0.14,0.70,0.18,0.16,0.26,0.66
3,1,3,balanced_differentiation,0.74,0.82,0.76,0.32,0.26,0.36,0.08,0.84,0.14,0.12,0.22,0.80
4,1,4,balanced_differentiation,0.86,0.88,0.84,0.30,0.24,0.38,0.02,0.98,0.10,0.10,0.18,0.94
5,2,1,thinking_dominance,0.82,0.38,0.42,0.46,0.44,0.52,0.44,0.48,0.48,0.44,0.62,0.34
6,2,2,thinking_dominance,0.88,0.42,0.48,0.50,0.46,0.54,0.46,0.52,0.50,0.46,0.66,0.38
7,2,3,thinking_dominance,0.92,0.50,0.56,0.44,0.42,0.50,0.42,0.64,0.42,0.38,0.54,0.52
8,2,4,thinking_dominance,0.96,0.60,0.66,0.38,0.36,0.44,0.36,0.78,0.34,0.30,0.42,0.68
9,3,1,feeling_dominance,0.74,0.40,0.46,0.52,0.50,0.58,0.34,0.44,0.50,0.42,0.64,0.32
10,3,2,feeling_dominance,0.80,0.46,0.54,0.50,0.48,0.56,0.34,0.56,0.46,0.38,0.58,0.44
11,3,3,feeling_dominance,0.86,0.56,0.62,0.44,0.42,0.50,0.30,0.70,0.36,0.28,0.46,0.60
12,3,4,feeling_dominance,0.90,0.66,0.72,0.38,0.36,0.44,0.24,0.84,0.28,0.22,0.34,0.76
13,4,1,sensation_dominance,0.68,0.42,0.48,0.42,0.38,0.44,0.26,0.54,0.34,0.28,0.44,0.46
14,4,2,sensation_dominance,0.76,0.48,0.54,0.40,0.36,0.42,0.28,0.64,0.30,0.24,0.38,0.56
15,4,3,sensation_dominance,0.84,0.58,0.64,0.36,0.32,0.38,0.26,0.78,0.24,0.18,0.30,0.72
16,4,4,sensation_dominance,0.90,0.70,0.74,0.32,0.28,0.34,0.20,0.92,0.18,0.14,0.22,0.86
17,5,1,intuition_dominance,0.78,0.36,0.44,0.56,0.42,0.62,0.42,0.42,0.46,0.40,0.68,0.28
18,5,2,intuition_dominance,0.84,0.44,0.52,0.54,0.40,0.58,0.40,0.54,0.40,0.34,0.58,0.42
19,5,3,intuition_dominance,0.90,0.56,0.62,0.48,0.36,0.52,0.34,0.70,0.32,0.26,0.46,0.60
20,5,4,intuition_dominance,0.96,0.68,0.72,0.40,0.30,0.46,0.28,0.86,0.24,0.18,0.34,0.78
21,6,1,persona_identification,0.64,0.36,0.32,0.62,0.86,0.66,0.28,0.30,0.82,0.74,0.78,0.12
22,6,2,persona_identification,0.70,0.42,0.38,0.66,0.88,0.70,0.28,0.34,0.84,0.76,0.82,0.14
23,6,3,persona_identification,0.76,0.54,0.52,0.58,0.74,0.62,0.22,0.52,0.62,0.56,0.60,0.36
24,6,4,persona_identification,0.84,0.68,0.66,0.46,0.54,0.50,0.16,0.74,0.40,0.36,0.40,0.62
25,7,1,shadow_pressure,0.46,0.38,0.34,0.86,0.46,0.92,0.08,0.10,0.50,0.30,0.92,0.08
26,7,2,shadow_pressure,0.56,0.46,0.44,0.82,0.44,0.86,0.10,0.26,0.46,0.26,0.80,0.22
27,7,3,shadow_pressure,0.68,0.58,0.58,0.70,0.38,0.70,0.10,0.52,0.34,0.20,0.58,0.48
28,7,4,shadow_pressure,0.80,0.72,0.72,0.54,0.30,0.54,0.08,0.82,0.20,0.12,0.34,0.78
